"",".","n"
"1","nationalcancerinstitute",28
"2","mayoclinic",24
"3","memorialsloanketteringcancercenter",23
"4","dukeuniversity",18
"5","universityofcalifornia",17
"6","universityofwashington",16
"7","dukeuniversitymedicalcenter",15
"8","theuniversityoftexasmdandersoncancercenter",15
"9","baylorcollegeofmedicine",14
"10","universityofchicago",14
"11","dana-farbercancerinstitute",13
"12","brighamandwomen'shospital",11
"13","universityofminnesota",11
"14","vanderbiltuniversitymedicalcenter",11
"15","washingtonuniversityschoolofmedicine",11
"16","chanschoolofpublichealth",10
"17","emoryuniversity",10
"18","universityofsoutherncalifornia",10
"19","dukeuniversityschoolofmedicine",9
"20","northwesternuniversity",9
"21","harvardmedicalschool",8
"22","roswellparkcancerinstitute",8
"23","universityoftoronto",8
"24","cornelluniversity",7
"25","fredhutchinsoncancerresearchcenter",7
"26","johnshopkinsuniversity",7
"27","medicaluniversityofsouthcarolina",7
"28","universityofpennsylvania",7
"29","foxchasecancercenter",6
"30","johnshopkinsbloombergschoolofpublichealth",6
"31","massachusettsgeneralhospital",6
"32","nationalinstituteofenvironmentalhealthsciences",6
"33","stanforduniversity",6
"34","universityofarizona",6
"35","universityofmichigan",6
"36","universityofpittsburgh",6
"37","universityoftexassouthwesternmedicalcenter",6
"38","alberteinsteincollegeofmedicine",5
"39","cedars-sinaimedicalcenter",5
"40","icahnschoolofmedicineatmountsinai",5
"41","newyorkuniversityschoolofmedicine",5
"42","theohiostateuniversity",5
"43","universityofbritishcolumbia",5
"44","universityofillinoisatchicago",5
"45","universityoftennesseehealthsciencecenter",5
"46","universityofutah",5
"47","universityofwisconsinschoolofmedicineandpublichealth",5
"48","vanderbiltuniversity",5
"49","washingtonuniversity",5
"50","brighamandwomen'shospitalandharvardmedicalschool",4
"51","casewesternreserveuniversity",4
"52","danafarbercancerinstitute",4
"53","dukecancerinstitute",4
"54","eastcarolinauniversity",4
"55","geiselschoolofmedicineatdartmouth",4
"56","internationalagencyforresearchoncancer",4
"57","massachusettsgeneralhospitalcancercenter",4
"58","mdandersoncancercenter",4
"59","northwesternuniversityfeinbergschoolofmedicine",4
"60","ohiostateuniversity",4
"61","rutgerscancerinstituteofnewjersey",4
"62","thomasjeffersonuniversity",4
"63","trinitytranslationalmedicineinstitute",4
"64","universityofcaliforniasandiego",4
"65","universityofchicagomedicine",4
"66","universityofcolorado",4
"67","universityofgeorgia",4
"68","universityofleeds",4
"69","universityofsouthcarolina",4
"70","universityofvirginia",4
"71","weillcornellmedicalcollege",4
"72","bostonchildren'shospital",3
"73","bostonuniversityschoolofpublichealth",3
"74","broadinstituteofmitandharvard",3
"75","centerforhealthresearch",3
"76","chinamedicaluniversity",3
"77","clevelandclinic",3
"78","coloradostateuniversity",3
"79","dukeuniversityschoolofnursing",3
"80","emoryuniversityschoolofmedicine",3
"81","fudanuniversity",3
"82","hospitalalemánofbuenosaires",3
"83","humangenomesequencingcenter",3
"84","huntsmancancerinstitute",3
"85","johnshopkinsuniversityschoolofmedicine",3
"86","jordanuniversityofscienceandtechnology",3
"87","karolinskainstitutet",3
"88","levinecancerinstitute",3
"89","moffittcancercenter",3
"90","nationalhumangenomeresearchinstitute",3
"91","northcarolinastateuniversity",3
"92","NOTDETECTED/OTHER:departmentofpathologyandlaboratorymedicine",3
"93","oregonhealth&scienceuniversity",3
"94","rutgersuniversity",3
"95","stanforduniversityschoolofmedicine",3
"96","theinstituteofcancerresearch",3
"97","theresearchinstituteatnationwidechildren'shospital",3
"98","universityhospitalregensburg",3
"99","universityofcalifornialosangeles",3
"100","universityofcaliforniasanfrancisco",3
"101","universityofcambridge",3
"102","universityofcoloradoanschutzmedicalcampus",3
"103","universityofkansas",3
"104","universityofmalawi",3
"105","universityofmelbourne",3
"106","universityofnewmexico",3
"107","universityofoslo",3
"108","universityofrochestermedicalcenter",3
"109","universityofsheffield",3
"110","universityofsouthflorida",3
"111","universityoftexasmdandersoncancercenter",3
"112","universityofthewitwatersrand",3
"113","universityofvermont",3
"114","universityofwashingtonschoolofmedicine",3
"115","universityofwisconsin",3
"116","veteransaffairsmedicalcenter",3
"117","wakeforestuniversity",3
"118","washingtonuniversityinst",3
"119","yalecancercenter",3
"120","yaleuniversityschoolofmedicine",3
"121","2kaiserpermanentewashingtonhealthresearchinstitute",2
"122","aarhusuniversity",2
"123","acadiauniversity",2
"124","americanuniversityofbeirut",2
"125","barretoscancerhospital",2
"126","bayloruniversitymedicalcenter",2
"127","bccanceragency",2
"128","bethisraeldeaconessmedicalcenter",2
"129","bostonuniversity",2
"130","broadinstituteofharvardandmit",2
"131","capitalmedicaluniversitybeijing",2
"132","casewesternreserveuniversityschoolofmedicine",2
"133","centersfordiseasecontrolandprevention",2
"134","changchuninstituteofappliedchemistry",2
"135","children'shospitalofphiladelphia",2
"136","cityofhopecomprehensivecancercenter",2
"137","clinicalresearchdivision",2
"138","columbiauniversitymedicalcenter",2
"139","croavianonationalcancerinstitute",2
"140","dalhousieuniversity",2
"141","dartmouthcollege",2
"142","debartolofamilypersonalizedmedicineinstitute",2
"143","dukeuniversityhospital",2
"144","federaluniversityofsaopaulo",2
"145","feinsteininstituteformedicalresearch",2
"146","georgetownuniversityschoolofmedicine",2
"147","georgiastateuniversity",2
"148","germancancerresearchcenter",2
"149","helenjosephhospital",2
"150","hudsonalphainstituteforbiotechnology",2
"151","imperialcollege",2
"152","indianauniversityschoolofmedicine",2
"153","instituteforsystemsbiology",2
"154","instituteofpopulation-basedcancerresearch",2
"155","judechildren'sresearchhospital",2
"156","kamuzucentralhospital",2
"157","kanazawauniversity",2
"158","leemoffittcancercenter&researchinstitute",2
"159","lesterandsuesmithbreastcenter",2
"160","louisianastateuniversityhealthsciencescenter",2
"161","massachusettsgeneralhospitalandharvardmedicalschool",2
"162","mayocliniccollegeofmedicine",2
"163","medstargeorgetownuniversityhospital",2
"164","memorialsloan-ketteringcancercenter",2
"165","newyorkuniversitylangonemedicalcenter",2
"166","norriscottoncancercenter",2
"167","northcarolinacentraluniversity",2
"168","northshoreuniversityhealthsystem",2
"169","NOTDETECTED/OTHER:ambrygenetics,alisoviejo,california",2
"170","NOTDETECTED/OTHER:curriculuminbioinformaticsandcomputationalbiology",2
"171","ontariocancerinstitute",2
"172","oregonhealthandscienceuniversity",2
"173","petermaccallumcancercentre",2
"174","qataruniversity",2
"175","qimrberghofermedicalresearchinstitute",2
"176","radbouduniversitymedicalcenter",2
"177","radbouduniversitymedicalcentre",2
"178","rutgersrobertwoodjohnsonmedicalschool",2
"179","samueloschincomprehensivecancerinstitute",2
"180","sandiegostateuniversity",2
"181","schoolofmedicine",2
"182","shenzhenuniversity",2
"183","sidneykimmelcomprehensivecancercenteratjohnshopkins",2
"184","sloneepidemiologycenteratbostonuniversity",2
"185","stanfordcancerinstitute",2
"186","stateuniversityofnewyorkupstate",2
"187","templeuniversity",2
"188","texasa&muniversity",2
"189","thesidneykimmelcomprehensivecancercenteratjohnshopkins",2
"190","thetischcancerinstitute",2
"191","theuniversityoftexasm",2
"192","umeåuniversity",2
"193","universitycollegehospital",2
"194","universityhealthnetwork",2
"195","universitymedicalcenter",2
"196","universitymedicalcenterutrecht",2
"197","universityofalabamaatbirmingham",2
"198","universityofarkansasformedicalsciences",2
"199","universityofbirmingham",2
"200","universityofcaliforniairvine",2
"201","universityofcincinnaticollegeofmedicine",2
"202","universityofcoloradodenver",2
"203","universityofcoloradoschoolofmedicine",2
"204","universityofcopenhagen",2
"205","universityoffloridahospitals",2
"206","universityofkansascancercenter",2
"207","universityofkansasmedicalcenter",2
"208","universityofkentucky",2
"209","universityofmagdeburg",2
"210","universityofmaryland",2
"211","universityofmassachusetts",2
"212","universityofmiami",2
"213","universityofoklahoma",2
"214","universityofoxford",2
"215","universityofsaopaulo",2
"216","universityofsoutherncalifornia/norriscomprehensivecancercenter",2
"217","universityofsydney",2
"218","universityoftexasataustin",2
"219","universityofutahschoolofmedicine",2
"220","universityofwisconsin-madison",2
"221","universityofzambia",2
"222","utmdandersoncancercenter",2
"223","vanderbilt-ingramcancercenter",2
"224","wakeforestschoolofmedicine",2
"225","wakeforestuniversityschoolofmedicine",2
"226","washingtonstateuniversity",2
"227","waynestateuniversity",2
"228","yaleschoolofpublichealth",2
"229","yonseiuniversity",2
"230","""federicoii""universityofnaples",1
"231","1northwesternuniversityfeinbergschoolofmedicine",1
"232","1theuniversityoftexashealthsciencecenterathouston",1
"233","1universityofbrasília",1
"234","1universityofpennsylvania",1
"235","1virginiacommonwealthuniversity",1
"236","22fredhutchinsoncancerresearchcenter",1
"237","23medicinesandhealthcareproductsregulatoryagency",1
"238","26blueclinicalphasei",1
"239","28europeancentrefordiseasepreventionandcontrol",1
"240","29vuuniversitymedicalcenter",1
"241","2beaumonthospitaloakwoodcampus",1
"242","2coloradoschoolofpublichealth",1
"243","2emoryuniversity",1
"244","2georgewashingtonuniversity",1
"245","2sandiegostateuniversity/universityofcalifornia",1
"246","2usda/arsgrandforkshumannutritionresearchcenter",1
"247","30instituteforqualityandefficiencyinhealthcare",1
"248","32leidenuniversitymedicalcenter/haaglandenmedicalcenter",1
"249","3dartmouthinstituteforhealthpolicy&clinicalpractice",1
"250","3dartmouthinstituteforhealthpolicyandclinicalpractice",1
"251","3emoryuniversity",1
"252","3federaluniversityofgoiás",1
"253","3kaiserpermanentewashingtonhealthresearchinstitute",1
"254","3oregonhealth&scienceuniversity",1
"255","3sandiegostateuniversity",1
"256","4nationalinstitutesofhealth",1
"257","4northcarolinacentraluniversity",1
"258","4universityofsouthcarolina",1
"259","4usda/arschildren'snutritionresearchcenter",1
"260","5northcarolinacentraluniversity",1
"261","5universityofwashington",1
"262","5universityofyork",1
"263","6alberteinsteincollegeofmedicine",1
"264","7southbaylatinoresearchcenter",1
"265","7universityofcaliforniadavis",1
"266","8thedartmouthinstituteforhealthpolicyandclinicalpracticeandnorriscottoncancercenter",1
"267","abiastateuniversityteachinghospital",1
"268","academicmedicalcenter",1
"269","academicmedicalcentre",1
"270","aflaccancerandblooddisorderscenteratchildren'shealthcareofatlanta/emoryuniversity",1
"271","aichicancercenterresearchinstitute",1
"272","alberteinsteincancercenter",1
"273","alliancestatisticsanddatacenter",1
"274","allindiainstituteofmedicalsciences",1
"275","americancollegeofmedicalgeneticsandgenomics",1
"276","americaninstitutesforresearch",1
"277","andmcmasteruniversity",1
"278","andnorthcarolinastateuniversity",1
"279","andthesmilowcancercenteratyaleuniversity",1
"280","andtheuniversityofnortherncoloradocancerrehabilitationinstitute",1
"281","andwhocollaboratingcenterfornutritionandhealth",1
"282","archboldmedicalcenter",1
"283","arizonaclinicalresearchcenter",1
"284","auburnuniversity",1
"285","augustauniversity",1
"286","augustpiisunyerbiomedicalresearchinstitute(idibaps)",1
"287","autism&developmentalmedicineinstitute",1
"288","bartscancerinstitute",1
"289","baylorcollegeofmedicinechildren'sfoundationmalawi",1
"290","bccanceragencygenomesciencescentre",1
"291","beaumontresearchinstitute",1
"292","beckmanresearchinstituteandcityofhopecomprehensivecancercenter",1
"293","beckmanresearchinstituteofcityofhope",1
"294","benefisslettencancerinstitute",1
