"","frequencies","words","collaborators"
"1",27,"cancer","nationalcancerinstitute"
"2",17,"results","nationalcancerinstitute"
"3",16,"methods","nationalcancerinstitute"
"4",12,"associated","nationalcancerinstitute"
"5",12,"background","nationalcancerinstitute"
"6",12,"treatment","nationalcancerinstitute"
"7",11,"conclusions","nationalcancerinstitute"
"8",11,"data","nationalcancerinstitute"
"9",11,"risk","nationalcancerinstitute"
"10",10,"95%","nationalcancerinstitute"
"11",10,"including","nationalcancerinstitute"
"12",10,"most","nationalcancerinstitute"
"13",10,"patients","nationalcancerinstitute"
"14",10,"study","nationalcancerinstitute"
"15",9,"common","nationalcancerinstitute"
"16",9,"patient","nationalcancerinstitute"
"17",9,"studies","nationalcancerinstitute"
"18",8,"4","nationalcancerinstitute"
"19",8,"cell","nationalcancerinstitute"
"20",8,"conclusion","nationalcancerinstitute"
"21",8,"could","nationalcancerinstitute"
"22",8,"p","nationalcancerinstitute"
"23",7,"analysis","nationalcancerinstitute"
"24",7,"both","nationalcancerinstitute"
"25",7,"ci","nationalcancerinstitute"
"26",7,"clinical","nationalcancerinstitute"
"27",7,"cohort","nationalcancerinstitute"
"28",7,"conducted","nationalcancerinstitute"
"29",7,"findings","nationalcancerinstitute"
"30",7,"group","nationalcancerinstitute"
"31",7,"identified","nationalcancerinstitute"
"32",7,"increased","nationalcancerinstitute"
"33",7,"needed","nationalcancerinstitute"
"34",7,"potential","nationalcancerinstitute"
"35",6,"been","nationalcancerinstitute"
"36",6,"can","nationalcancerinstitute"
"37",6,"cancers","nationalcancerinstitute"
"38",6,"compared","nationalcancerinstitute"
"39",6,"disease","nationalcancerinstitute"
"40",6,"factors","nationalcancerinstitute"
"41",6,"found","nationalcancerinstitute"
"42",6,"health","nationalcancerinstitute"
"43",6,"life","nationalcancerinstitute"
"44",6,"(n","nationalcancerinstitute"
"45",6,"primary","nationalcancerinstitute"
"46",6,"purpose","nationalcancerinstitute"
"47",6,"related","nationalcancerinstitute"
"48",6,"there","nationalcancerinstitute"
"49",5,"15","nationalcancerinstitute"
"50",5,"age","nationalcancerinstitute"
"51",5,"approach","nationalcancerinstitute"
"52",5,"burden","nationalcancerinstitute"
"53",5,"care","nationalcancerinstitute"
"54",23,"cancer","mayoclinic"
"55",12,"results","mayoclinic"
"56",11,"methods","mayoclinic"
"57",10,"patients","mayoclinic"
"58",10,"study","mayoclinic"
"59",9,"associated","mayoclinic"
"60",9,"both","mayoclinic"
"61",9,"cell","mayoclinic"
"62",9,"clinical","mayoclinic"
"63",8,"analysis","mayoclinic"
"64",7,"95%","mayoclinic"
"65",7,"cells","mayoclinic"
"66",7,"chemotherapy","mayoclinic"
"67",7,"lower","mayoclinic"
"68",7,"treatment","mayoclinic"
"69",7,"tumor","mayoclinic"
"70",7,"use","mayoclinic"
"71",6,"14","mayoclinic"
"72",6,"based","mayoclinic"
"73",6,"can","mayoclinic"
"74",6,"ci","mayoclinic"
"75",6,"compared","mayoclinic"
"76",6,"conclusions","mayoclinic"
"77",6,"current","mayoclinic"
"78",6,"data","mayoclinic"
"79",6,"most","mayoclinic"
"80",6,"other","mayoclinic"
"81",6,"therapy","mayoclinic"
"82",6,"two","mayoclinic"
"83",6,"well","mayoclinic"
