"","frequencies","words","collaborators"
"1",32,"and","nationalcancerinstitute"
"2",32,"in","nationalcancerinstitute"
"3",32,"of","nationalcancerinstitute"
"4",32,"the","nationalcancerinstitute"
"5",31,"to","nationalcancerinstitute"
"6",30,"a","nationalcancerinstitute"
"7",30,"cancer","nationalcancerinstitute"
"8",29,"with","nationalcancerinstitute"
"9",27,"for","nationalcancerinstitute"
"10",21,"on","nationalcancerinstitute"
"11",20,"by","nationalcancerinstitute"
"12",20,"results","nationalcancerinstitute"
"13",20,"was","nationalcancerinstitute"
"14",20,"were","nationalcancerinstitute"
"15",19,"is","nationalcancerinstitute"
"16",18,"as","nationalcancerinstitute"
"17",16,"that","nationalcancerinstitute"
"18",16,"we","nationalcancerinstitute"
"19",15,"from","nationalcancerinstitute"
"20",15,"this","nationalcancerinstitute"
"21",14,"methods","nationalcancerinstitute"
"22",14,"or","nationalcancerinstitute"
"23",13,"conclusions","nationalcancerinstitute"
"24",13,"not","nationalcancerinstitute"
"25",12,"analysis","nationalcancerinstitute"
"26",12,"be","nationalcancerinstitute"
"27",12,"patients","nationalcancerinstitute"
"28",12,"these","nationalcancerinstitute"
"29",11,"=","nationalcancerinstitute"
"30",11,"are","nationalcancerinstitute"
"31",11,"risk","nationalcancerinstitute"
"32",10,"1","nationalcancerinstitute"
"33",10,"2","nationalcancerinstitute"
"34",10,"among","nationalcancerinstitute"
"35",10,"an","nationalcancerinstitute"
"36",10,"associated","nationalcancerinstitute"
"37",10,"clinical","nationalcancerinstitute"
"38",10,"studies","nationalcancerinstitute"
"39",10,"study","nationalcancerinstitute"
"40",10,"tumor","nationalcancerinstitute"
"41",9,"at","nationalcancerinstitute"
"42",9,"background","nationalcancerinstitute"
"43",9,"both","nationalcancerinstitute"
"44",9,"cell","nationalcancerinstitute"
"45",9,"factors","nationalcancerinstitute"
"46",9,"have","nationalcancerinstitute"
"47",9,"using","nationalcancerinstitute"
"48",8,"0","nationalcancerinstitute"
"49",8,"3","nationalcancerinstitute"
"50",8,"activity","nationalcancerinstitute"
"51",8,"effect","nationalcancerinstitute"
"52",8,"had","nationalcancerinstitute"
"53",8,"no","nationalcancerinstitute"
"54",8,"our","nationalcancerinstitute"
"55",8,"outcomes","nationalcancerinstitute"
"56",8,"patient","nationalcancerinstitute"
"57",8,"trial","nationalcancerinstitute"
"58",8,"which","nationalcancerinstitute"
"59",8,"years","nationalcancerinstitute"
"60",7,"(1","nationalcancerinstitute"
"61",7,"between","nationalcancerinstitute"
"62",7,"cells","nationalcancerinstitute"
"63",7,"ci","nationalcancerinstitute"
"64",7,"data","nationalcancerinstitute"
"65",7,"during","nationalcancerinstitute"
"66",7,"effects","nationalcancerinstitute"
"67",7,"identify","nationalcancerinstitute"
"68",7,"low","nationalcancerinstitute"
"69",7,"may","nationalcancerinstitute"
"70",7,"more","nationalcancerinstitute"
"71",7,"therapy","nationalcancerinstitute"
"72",7,"treatment","nationalcancerinstitute"
"73",7,"who","nationalcancerinstitute"
"74",6,"5","nationalcancerinstitute"
"75",6,"across","nationalcancerinstitute"
"76",6,"age","nationalcancerinstitute"
"77",6,"also","nationalcancerinstitute"
"78",6,"approach","nationalcancerinstitute"
"79",6,"based","nationalcancerinstitute"
"80",6,"common","nationalcancerinstitute"
"81",6,"did","nationalcancerinstitute"
"82",6,"found","nationalcancerinstitute"
"83",6,"high","nationalcancerinstitute"
"84",6,"higher","nationalcancerinstitute"
"85",6,"included","nationalcancerinstitute"
"86",6,"it","nationalcancerinstitute"
"87",6,"models","nationalcancerinstitute"
"88",6,"new","nationalcancerinstitute"
"89",6,"potential","nationalcancerinstitute"
"90",6,"reported","nationalcancerinstitute"
"91",6,"sample","nationalcancerinstitute"
"92",6,"significantly","nationalcancerinstitute"
"93",6,"their","nationalcancerinstitute"
"94",6,"used","nationalcancerinstitute"
"95",6,"well","nationalcancerinstitute"
"96",5,"(hr","nationalcancerinstitute"
"97",5,"(p","nationalcancerinstitute"
"98",5,"<","nationalcancerinstitute"
"99",5,"12","nationalcancerinstitute"
"100",5,"4","nationalcancerinstitute"
"101",25,"a","mayoclinic"
"102",25,"of","mayoclinic"
"103",25,"the","mayoclinic"
"104",24,"and","mayoclinic"
"105",24,"in","mayoclinic"
"106",24,"to","mayoclinic"
"107",22,"cancer","mayoclinic"
"108",22,"for","mayoclinic"
"109",20,"we","mayoclinic"
"110",18,"with","mayoclinic"
"111",16,"is","mayoclinic"
"112",15,"were","mayoclinic"
"113",14,"by","mayoclinic"
"114",14,"results","mayoclinic"
"115",14,"this","mayoclinic"
"116",13,"are","mayoclinic"
"117",13,"study","mayoclinic"
"118",12,"as","mayoclinic"
"119",12,"that","mayoclinic"
"120",12,"was","mayoclinic"
"121",11,"an","mayoclinic"
"122",11,"from","mayoclinic"
"123",11,"on","mayoclinic"
"124",10,"at","mayoclinic"
"125",10,"be","mayoclinic"
"126",10,"methods","mayoclinic"
"127",10,"not","mayoclinic"
"128",10,"our","mayoclinic"
"129",10,"than","mayoclinic"
"130",9,"breast","mayoclinic"
"131",9,"has","mayoclinic"
"132",9,"these","mayoclinic"
"133",8,"all","mayoclinic"
"134",8,"analysis","mayoclinic"
"135",8,"data","mayoclinic"
"136",8,"or","mayoclinic"
"137",8,"patients","mayoclinic"
"138",7,"3","mayoclinic"
"139",7,"after","mayoclinic"
"140",7,"been","mayoclinic"
"141",7,"care","mayoclinic"
"142",7,"had","mayoclinic"
"143",7,"have","mayoclinic"
"144",7,"health","mayoclinic"
"145",7,"time","mayoclinic"
"146",6,"1","mayoclinic"
"147",6,"2","mayoclinic"
"148",6,"about","mayoclinic"
"149",6,"both","mayoclinic"
"150",6,"clinical","mayoclinic"
"151",6,"conclusions","mayoclinic"
"152",6,"effects","mayoclinic"
"153",6,"higher","mayoclinic"
"154",6,"more","mayoclinic"
"155",6,"overall","mayoclinic"
"156",6,"setting","mayoclinic"
"157",6,"studies","mayoclinic"
"158",6,"such","mayoclinic"
"159",6,"used","mayoclinic"
"160",6,"which","mayoclinic"
"161",5,"0","mayoclinic"
"162",5,"across","mayoclinic"
"163",5,"activity","mayoclinic"
"164",5,"age","mayoclinic"
"165",5,"associated","mayoclinic"
"166",5,"between","mayoclinic"
"167",5,"but","mayoclinic"
"168",5,"can","mayoclinic"
"169",5,"conclusion","mayoclinic"
"170",5,"did","mayoclinic"
"171",5,"evaluated","mayoclinic"
"172",5,"found","mayoclinic"
"173",5,"high","mayoclinic"
"174",5,"important","mayoclinic"
"175",5,"may","mayoclinic"
"176",5,"model","mayoclinic"
"177",5,"most","mayoclinic"
"178",5,"outcomes","mayoclinic"
"179",5,"over","mayoclinic"
"180",5,"sample","mayoclinic"
"181",5,"show","mayoclinic"
"182",5,"treatment","mayoclinic"
"183",5,"trials","mayoclinic"
"184",5,"us","mayoclinic"
"185",5,"using","mayoclinic"
"186",4,"=","mayoclinic"
"187",4,"02)","mayoclinic"
"188",4,"5","mayoclinic"
"189",4,"although","mayoclinic"
"190",4,"analyses","mayoclinic"
"191",4,"assess","mayoclinic"
"192",4,"cancers","mayoclinic"
"193",4,"cell","mayoclinic"
"194",4,"cells","mayoclinic"
"195",4,"chemotherapy","mayoclinic"
"196",4,"design","mayoclinic"
"197",4,"early","mayoclinic"
"198",4,"expression","mayoclinic"
"199",4,"factors","mayoclinic"
"200",4,"findings","mayoclinic"
"201",21,"and","memorialsloanketteringcancercenter"
"202",21,"of","memorialsloanketteringcancercenter"
"203",21,"the","memorialsloanketteringcancercenter"
"204",20,"in","memorialsloanketteringcancercenter"
"205",20,"to","memorialsloanketteringcancercenter"
"206",20,"with","memorialsloanketteringcancercenter"
"207",19,"a","memorialsloanketteringcancercenter"
"208",19,"cancer","memorialsloanketteringcancercenter"
"209",18,"for","memorialsloanketteringcancercenter"
"210",16,"were","memorialsloanketteringcancercenter"
"211",15,"this","memorialsloanketteringcancercenter"
"212",15,"was","memorialsloanketteringcancercenter"
"213",13,"results","memorialsloanketteringcancercenter"
"214",12,"as","memorialsloanketteringcancercenter"
"215",12,"methods","memorialsloanketteringcancercenter"
"216",12,"we","memorialsloanketteringcancercenter"
"217",11,"by","memorialsloanketteringcancercenter"
"218",11,"from","memorialsloanketteringcancercenter"
"219",11,"that","memorialsloanketteringcancercenter"
"220",10,"1","memorialsloanketteringcancercenter"
"221",10,"is","memorialsloanketteringcancercenter"
"222",10,"not","memorialsloanketteringcancercenter"
"223",9,"be","memorialsloanketteringcancercenter"
"224",9,"between","memorialsloanketteringcancercenter"
"225",9,"patients","memorialsloanketteringcancercenter"
"226",9,"study","memorialsloanketteringcancercenter"
"227",8,"2","memorialsloanketteringcancercenter"
"228",8,"associated","memorialsloanketteringcancercenter"
"229",8,"at","memorialsloanketteringcancercenter"
"230",8,"clinical","memorialsloanketteringcancercenter"
"231",8,"conclusions","memorialsloanketteringcancercenter"
"232",8,"than","memorialsloanketteringcancercenter"
"233",8,"these","memorialsloanketteringcancercenter"
"234",8,"using","memorialsloanketteringcancercenter"
"235",7,"=","memorialsloanketteringcancercenter"
"236",7,"0","memorialsloanketteringcancercenter"
"237",7,"an","memorialsloanketteringcancercenter"
"238",7,"analysis","memorialsloanketteringcancercenter"
"239",7,"did","memorialsloanketteringcancercenter"
"240",7,"had","memorialsloanketteringcancercenter"
"241",7,"no","memorialsloanketteringcancercenter"
"242",7,"or","memorialsloanketteringcancercenter"
"243",7,"our","memorialsloanketteringcancercenter"
"244",7,"risk","memorialsloanketteringcancercenter"
