"",".","n"
"1","of",431
"2","the",431
"3","and",430
"4","to",418
"5","in",417
"6","a",390
"7","cancer",380
"8","with",373
"9","for",359
"10","is",275
"11","were",271
"12","was",266
"13","we",259
"14","results",257
"15","that",257
"16","this",250
"17","by",245
"18","from",231
"19","as",223
"20","methods",213
"21","on",207
"22","or",201
"23","patients",192
"24","are",189
"25","an",177
"26","study",171
"27","at",168
"28","these",157
"29","1",148
"30","be",147
"31","not",143
"32","associated",142
"33","conclusions",139
"34","treatment",139
"35","data",133
"36","used",133
"37","0",130
"38","have",127
"39","using",127
"40","=",122
"41","clinical",117
"42","may",113
"43","2",112
"44","between",111
"45","risk",109
"46","which",109
"47","background",108
"48","among",104
"49","more",104
"50","analysis",101
"51","has",100
"52","tumor",99
"53","but",98
"54","cell",98
"55","than",97
"56","however",94
"57","3",93
"58","after",93
"59","use",93
"60","had",92
"61","all",91
"62","compared",90
"63","studies",90
"64","our",89
"65","conclusion",86
"66","who",84
"67","95%",83
"68","ci",83
"69","purpose",82
"70","high",81
"71","outcomes",80
"72","no",79
"73","overall",79
"74","years",79
"75","also",78
"76","breast",78
"77","identified",78
"78","been",77
"79","4",76
"80","most",76
"81","cells",75
"82","age",74
"83","both",74
"84","can",74
"85","survival",73
"86","therapy",73
"87","their",72
"88","higher",71
"89","increased",71
"90","other",71
"91","identify",70
"92","disease",68
"93","including",67
"94","patient",67
"95","effects",66
"96","health",66
"97","two",66
"98","factors",63
"99","p",62
"100","well",62
"101","6",61
"102","care",61
"103","evidence",61
"104","into",61
"105","objective",61
"106","significantly",60
"107","there",60
"108","5",59
"109","found",59
"110","potential",59
"111","findings",58
"112","response",58
"113","time",55
"114","model",54
"115","reported",54
"116","when",54
"117","association",53
"118","during",53
"119","included",53
"120","participants",53
"121","research",53
"122","significant",53
"123","trial",53
"124","tumors",53
"125","development",52
"126","it",52
"127","primary",52
"128","women",52
"129","assessed",51
"130","based",51
"131","one",51
"132","should",51
"133","<",50
"134","cancers",50
"135","diagnosis",50
"136","did",50
"137","group",50
"138","low",50
"139","models",50
"140","regression",50
"141","respectively",50
"142","review",50
"143","role",50
"144","common",49
"145","its",49
"146","chemotherapy",48
"147","design",48
"148","increase",48
"149","levels",48
"150","although",47
"151","cohort",47
"152","conducted",47
"153","further",47
"154","human",47
"155","total",47
"156","about",46
"157","improve",46
"158","lower",46
"159","new",46
"160","population",46
"161","such",46
"162","while",46
"163","7",45
"164","effect",45
"165","expression",45
"166","median",45
"167","those",45
"168","through",45
"169","across",44
"170","diagnosed",44
"171","differences",44
"172","analyses",43
"173","confidence",43
"174","current",43
"175","each",43
"176","important",43
"177","8",42
"178","could",42
"179","rates",42
"180","ratio",42
"181","support",42
"182","here",41
"183","months",41
"184","needed",41
"185","vs",41
"186","within",41
"187","assess",40
"188","determine",40
"189","effective",40
"190","efficacy",40
"191","known",40
"192","(n",40
"193","over",40
"194","performed",40
"195","stage",40
"196","they",40
"197","three",40
"198","activity",39
"199","status",39
"200","whether",39
"201","10",38
"202","9",38
"203","associations",38
"204","due",38
"205","less",38
"206","likely",38
"207","(p",38
"208","similar",38
"209","future",37
"210","impact",37
"211","national",37
"212","observed",37
"213","provide",37
"214","suggest",37
"215","trials",37
"216","approach",36
"217","drug",36
"218","follow-up",36
"219","gene",36
"220","number",36
"221","quality",36
"222","received",36
"223","sample",36
"224","without",36
"225","characteristics",35
"226","evaluated",35
"227","inhibitor",35
"228","interval",35
"229","only",35
"230","rate",35
"231","several",35
"232","advanced",34
"233","developed",34
"234","groups",34
"235","novel",34
"236","therapeutic",34
"237","treated",34
"238","cases",33
"239","enrolled",33
"240","improved",33
"241","states",33
"242","12",32
"243","additional",32
"244","american",32
"245","carcinoma",32
"246","examined",32
"247","function",32
"248","if",32
"249","many",32
"250","multiple",32
"251","phase",32
"252","system",32
"253","toxicity",32
"254","before",31
"255","different",31
"256","first",31
"257","immune",31
"258","large",31
"259","screening",31
"260","strategies",31
"261","target",31
"262","baseline",30
"263","better",30
"264","completed",30
"265","control",30
"266","demonstrated",30
"267","early",30
"268","information",30
"269","lung",30
"270","materials",30
"271","poor",30
"272","randomized",30
"273","showed",30
"274","14",29
"275","18",29
"276","any",29
"277","colorectal",29
"278","combination",29
"279","grade",29
"280","growth",29
"281","interventions",29
"282","life",29
"283","mortality",29
"284","prostate",29
"285","receptor",29
"286","versus",29
"287","001)",28
"288","being",28
"289","end",28
"290","estimate",28
"291","examine",28
"292","inhibitors",28
"293","medical",28
