"","frequencies","words","collaborators"
"1","32","a","nationalcancerinstitute"
"2","32","and","nationalcancerinstitute"
"3","32","in","nationalcancerinstitute"
"4","32","of","nationalcancerinstitute"
"5","32","the","nationalcancerinstitute"
"6","31","to","nationalcancerinstitute"
"7","30","with","nationalcancerinstitute"
"8","29","for","nationalcancerinstitute"
"9","28","cancer","nationalcancerinstitute"
"10","24","that","nationalcancerinstitute"
"11","24","we","nationalcancerinstitute"
"12","23","is","nationalcancerinstitute"
"13","19","results","nationalcancerinstitute"
"14","19","this","nationalcancerinstitute"
"15","18","by","nationalcancerinstitute"
"16","18","from","nationalcancerinstitute"
"17","18","were","nationalcancerinstitute"
"18","17","was","nationalcancerinstitute"
"19","16","be","nationalcancerinstitute"
"20","15","an","nationalcancerinstitute"
"21","15","as","nationalcancerinstitute"
"22","14","are","nationalcancerinstitute"
"23","14","methods","nationalcancerinstitute"
"24","14","or","nationalcancerinstitute"
"25","14","patients","nationalcancerinstitute"
"26","12","data","nationalcancerinstitute"
"27","11","1","nationalcancerinstitute"
"28","11","associated","nationalcancerinstitute"
"29","11","between","nationalcancerinstitute"
"30","11","these","nationalcancerinstitute"
"31","11","used","nationalcancerinstitute"
"32","10","=","nationalcancerinstitute"
"33","10","0","nationalcancerinstitute"
"34","10","3","nationalcancerinstitute"
"35","10","can","nationalcancerinstitute"
"36","10","conclusions","nationalcancerinstitute"
"37","10","have","nationalcancerinstitute"
"38","10","however","nationalcancerinstitute"
"39","10","may","nationalcancerinstitute"
"40","10","treatment","nationalcancerinstitute"
"41","10","using","nationalcancerinstitute"
"42","9","but","nationalcancerinstitute"
"43","9","clinical","nationalcancerinstitute"
"44","9","had","nationalcancerinstitute"
"45","9","more","nationalcancerinstitute"
"46","9","on","nationalcancerinstitute"
"47","9","provide","nationalcancerinstitute"
"48","9","than","nationalcancerinstitute"
"49","9","use","nationalcancerinstitute"
"50","8","evidence","nationalcancerinstitute"
"51","8","has","nationalcancerinstitute"
"52","8","into","nationalcancerinstitute"
"53","8","its","nationalcancerinstitute"
"54","8","other","nationalcancerinstitute"
"55","8","outcomes","nationalcancerinstitute"
"56","8","potential","nationalcancerinstitute"
"57","8","risk","nationalcancerinstitute"
"58","8","should","nationalcancerinstitute"
"59","8","studies","nationalcancerinstitute"
"60","8","their","nationalcancerinstitute"
"61","8","years","nationalcancerinstitute"
"62","7","about","nationalcancerinstitute"
"63","7","age","nationalcancerinstitute"
"64","7","among","nationalcancerinstitute"
"65","7","at","nationalcancerinstitute"
"66","7","cell","nationalcancerinstitute"
"67","7","development","nationalcancerinstitute"
"68","7","higher","nationalcancerinstitute"
"69","7","identified","nationalcancerinstitute"
"70","7","known","nationalcancerinstitute"
"71","7","not","nationalcancerinstitute"
"72","6","<","nationalcancerinstitute"
"73","6","7","nationalcancerinstitute"
"74","6","after","nationalcancerinstitute"
"75","6","all","nationalcancerinstitute"
"76","6","breast","nationalcancerinstitute"
"77","6","care","nationalcancerinstitute"
"78","6","compared","nationalcancerinstitute"
"79","6","conclusion","nationalcancerinstitute"
"80","6","during","nationalcancerinstitute"
"81","6","gene","nationalcancerinstitute"
"82","6","health","nationalcancerinstitute"
"83","6","here","nationalcancerinstitute"
"84","6","levels","nationalcancerinstitute"
"85","6","no","nationalcancerinstitute"
"86","6","our","nationalcancerinstitute"
"87","6","purpose","nationalcancerinstitute"
"88","6","study","nationalcancerinstitute"
"89","6","target","nationalcancerinstitute"
"90","6","therapy","nationalcancerinstitute"
"91","6","there","nationalcancerinstitute"
"92","6","tumor","nationalcancerinstitute"
"93","6","which","nationalcancerinstitute"
"94","6","who","nationalcancerinstitute"
"95","5","000","nationalcancerinstitute"
"96","5","2","nationalcancerinstitute"
"97","5","8","nationalcancerinstitute"
"98","5","95%","nationalcancerinstitute"
"99","5","although","nationalcancerinstitute"
"100","5","analysis","nationalcancerinstitute"
"101","26","and","mayoclinic"
"102","26","of","mayoclinic"
"103","26","the","mayoclinic"
"104","25","in","mayoclinic"
"105","25","to","mayoclinic"
"106","24","a","mayoclinic"
"107","24","cancer","mayoclinic"
"108","24","with","mayoclinic"
"109","23","for","mayoclinic"
"110","19","results","mayoclinic"
"111","19","this","mayoclinic"
"112","17","as","mayoclinic"
"113","17","or","mayoclinic"
"114","16","was","mayoclinic"
"115","15","from","mayoclinic"
"116","15","is","mayoclinic"
"117","15","that","mayoclinic"
"118","15","were","mayoclinic"
"119","14","by","mayoclinic"
"120","14","on","mayoclinic"
"121","14","treatment","mayoclinic"
"122","12","associated","mayoclinic"
"123","12","at","mayoclinic"
"124","12","methods","mayoclinic"
"125","11","0","mayoclinic"
"126","11","1","mayoclinic"
"127","11","are","mayoclinic"
"128","11","has","mayoclinic"
"129","11","patients","mayoclinic"
"130","11","study","mayoclinic"
"131","11","we","mayoclinic"
"132","10","after","mayoclinic"
"133","10","an","mayoclinic"
"134","10","be","mayoclinic"
"135","10","tumor","mayoclinic"
"136","10","use","mayoclinic"
"137","9","cells","mayoclinic"
"138","9","conclusions","mayoclinic"
"139","9","not","mayoclinic"
"140","8","3","mayoclinic"
"141","8","chemotherapy","mayoclinic"
"142","8","conclusion","mayoclinic"
"143","8","design","mayoclinic"
"144","8","purpose","mayoclinic"
"145","8","risk","mayoclinic"
"146","8","which","mayoclinic"
"147","7","=","mayoclinic"
"148","7","95%","mayoclinic"
"149","7","also","mayoclinic"
"150","7","been","mayoclinic"
"151","7","breast","mayoclinic"
"152","7","cell","mayoclinic"
"153","7","clinical","mayoclinic"
"154","7","data","mayoclinic"
"155","7","during","mayoclinic"
"156","7","may","mayoclinic"
"157","7","no","mayoclinic"
"158","7","outcomes","mayoclinic"
"159","7","primary","mayoclinic"
"160","7","rates","mayoclinic"
"161","7","therapy","mayoclinic"
"162","7","these","mayoclinic"
"163","7","used","mayoclinic"
"164","7","well","mayoclinic"
"165","6","2","mayoclinic"
"166","6","analysis","mayoclinic"
"167","6","between","mayoclinic"
"168","6","but","mayoclinic"
"169","6","ci","mayoclinic"
"170","6","compared","mayoclinic"
"171","6","current","mayoclinic"
"172","6","determine","mayoclinic"
"173","6","efficacy","mayoclinic"
"174","6","enrolled","mayoclinic"
"175","6","had","mayoclinic"
"176","6","human","mayoclinic"
"177","6","identified","mayoclinic"
"178","6","included","mayoclinic"
"179","6","increased","mayoclinic"
"180","6","large","mayoclinic"
"181","6","patient","mayoclinic"
"182","6","survival","mayoclinic"
"183","6","their","mayoclinic"
"184","6","using","mayoclinic"
"185","6","while","mayoclinic"
"186","6","who","mayoclinic"
"187","6","women","mayoclinic"
"188","5","<","mayoclinic"
"189","5","12","mayoclinic"
"190","5","4","mayoclinic"
"191","5","6","mayoclinic"
"192","5","7","mayoclinic"
"193","5","all","mayoclinic"
"194","5","association","mayoclinic"
"195","5","background","mayoclinic"
"196","5","benefit","mayoclinic"
"197","5","common","mayoclinic"
"198","5","control","mayoclinic"
"199","5","criteria","mayoclinic"
"200","5","effects","mayoclinic"
"201","23","and","memorialsloanketteringcancercenter"
"202","23","for","memorialsloanketteringcancercenter"
"203","23","in","memorialsloanketteringcancercenter"
"204","23","of","memorialsloanketteringcancercenter"
"205","23","the","memorialsloanketteringcancercenter"
"206","23","to","memorialsloanketteringcancercenter"
"207","22","a","memorialsloanketteringcancercenter"
"208","21","with","memorialsloanketteringcancercenter"
"209","18","cancer","memorialsloanketteringcancercenter"
"210","18","results","memorialsloanketteringcancercenter"
"211","18","we","memorialsloanketteringcancercenter"
"212","17","from","memorialsloanketteringcancercenter"
"213","17","is","memorialsloanketteringcancercenter"
"214","15","methods","memorialsloanketteringcancercenter"
"215","15","were","memorialsloanketteringcancercenter"
"216","14","this","memorialsloanketteringcancercenter"
"217","13","as","memorialsloanketteringcancercenter"
"218","13","patients","memorialsloanketteringcancercenter"
"219","13","that","memorialsloanketteringcancercenter"
"220","13","was","memorialsloanketteringcancercenter"
"221","12","or","memorialsloanketteringcancercenter"
"222","11","associated","memorialsloanketteringcancercenter"
"223","11","at","memorialsloanketteringcancercenter"
"224","11","data","memorialsloanketteringcancercenter"
"225","10","0","memorialsloanketteringcancercenter"
"226","10","an","memorialsloanketteringcancercenter"
"227","10","by","memorialsloanketteringcancercenter"
"228","10","conclusions","memorialsloanketteringcancercenter"
"229","10","using","memorialsloanketteringcancercenter"
"230","9","background","memorialsloanketteringcancercenter"
"231","9","on","memorialsloanketteringcancercenter"
